timestamp,timestamp_iso,dpid,port,role,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,byte_delta,packet_delta,drop_delta,throughput_bps,port_bw_mbps,load,loss
1780246127.0396209,2026-06-01T00:48:47,16,1,data_access,51088,5018,631,47,0,0,0,0,0,0.0,1000,0.0,0.0
1780246127.0535114,2026-06-01T00:48:47,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246127.0628755,2026-06-01T00:48:47,5,1,teaching_ap,454366,753465066,1379,498526,0,0,0,0,0,0.0,100,0.0,0.0
1780246127.0691133,2026-06-01T00:48:47,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246127.0761526,2026-06-01T00:48:47,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246127.0833905,2026-06-01T00:48:47,11,1,dorm_ap,49887,6208,613,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246127.0952861,2026-06-01T00:48:47,9,1,dorm_ap,476449,783503668,1417,518357,0,0,0,0,0,0.0,100,0.0,0.0
1780246127.1245437,2026-06-01T00:48:47,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
1780246127.1397636,2026-06-01T00:48:47,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246136.89973,2026-06-01T00:48:56,6,1,teaching_ap,745883184,418793,493969,899,0,0,0,0,0,0.0,100,0.0,0.0
1780246136.9172814,2026-06-01T00:48:56,13,1,data_access,50366,6035,621,61,0,0,0,0,0,0.0,1000,0.0,0.0
1780246136.9284508,2026-06-01T00:48:56,14,1,data_access,50845,5578,627,55,0,0,0,0,0,0.0,1000,0.0,0.0
1780246136.9371896,2026-06-01T00:48:56,10,1,dorm_ap,775599924,438551,513620,902,0,0,0,0,0,0.0,100,0.0,0.0
1780246136.9529417,2026-06-01T00:48:56,15,1,data_access,50775,5648,626,56,0,0,0,0,0,0.0,1000,0.0,0.0
1780246136.9603004,2026-06-01T00:48:56,7,1,teaching_ap,49929,5743,617,60,0,0,0,0,0,0.0,100,0.0,0.0
1780246136.9676769,2026-06-01T00:48:56,8,1,teaching_ap,49520,6304,608,64,0,0,0,0,0,0.0,100,0.0,0.0
